"CommonName","Genus","Species","Group","BodyMass","ClutchVolume"
"Citipati","Citipati","osmolskae","Mani",79.2,8770000
"Troodon","Troodon","formosus","Mani",51.4,7580000
"Megaloolithus","Megaloolithus","patagonicus","Othr",5000,38500000
"Megaloolithus","Megaloolithus","sirguei","Othr",5000,41500000
"American Alligator","Alligator","mississippiensis","Croc",47.8,2540000
"Broad-snouted Caiman","Caiman","latirostris","Croc",14.6,2300000
"Yacare Caiman","Caiman","yacare","Croc",13,2230000
"Black Caiman","Melanosuchus","niger","Croc",82,4120000
"Cuvier's Dwarf Caiman","Paleosuchus","palpebrosus","Croc",5.9,811000
"Smooth-fronted Caiman","Paleosuchus","trigonatus","Croc",7.5,1150000
"American Crocodile","Crocodylus","acutus","Croc",76.7,2600000
"Slender-snouted Crocodile","Crocodylus","cataphractus","Croc",50.5,2290000
"Nile Crocodile","Crocodylus","niloticus","Croc",94.2,4310000
"Marsh Crocodile","Crocodylus","palustris","Croc",42.7,1950000
"Estuarine Crocodile","Crocodylus","porosus","Croc",78.7,5420000
"Orinoco Crocodile","Crocodylus","intermedius","Croc",108,4970000
"Freshwater Crocodile","Crocodylus","johnsoni","Croc",19.5,756000
"Philippine Crocodile","Crocodylus","mindorensis","Croc",36.9,997000
"Morelet's Crocodile","Crocodylus","moreletti","Croc",31.7,2710000
"New Guinea Crocodile","Crocodylus","novaeguineae","Croc",39.9,2160000
"Dwarf Crocodile","Osteolaemus","tetraspis","Croc",18.8,556000
"Gharial","Gavialis","gangeticus","Croc",147,7870000
"False Gharial","Tomistoma","schlegelii","Croc",119,5380000
